X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
442.0,442.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
443.0,443.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
444.0,444.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
445.0,445.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
446.0,446.0,train,2.693098234764375E-4,30.53987848116073,0.6779039400283112
447.0,447.0,train,2.3433803072239642E-4,20.765986657209577,0.6268555383799028
448.0,448.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
449.0,449.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
450.0,450.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
451.0,451.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
452.0,452.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
453.0,453.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
454.0,454.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
455.0,455.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
456.0,456.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
457.0,457.0,train,2.558107858015352E-4,29.284973037396338,0.6590839645050262
458.0,458.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
459.0,459.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
460.0,460.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
461.0,461.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
462.0,462.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
463.0,463.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
464.0,464.0,train,2.3433803072239642E-4,20.765986657209577,0.6268555383799028
465.0,465.0,train,2.3433803072239642E-4,20.765986657209577,0.6268555383799028
466.0,466.0,train,2.803663206415454E-4,31.475177438253855,0.6925420085668554
467.0,467.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
468.0,468.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
469.0,469.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
470.0,470.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
471.0,471.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
472.0,472.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
473.0,473.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
474.0,474.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
475.0,475.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
476.0,476.0,train,2.8920010496577656E-4,33.664954953262566,0.7037577919815698
477.0,477.0,train,2.8920010496577656E-4,33.664954953262566,0.7037577919815698
478.0,478.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
479.0,479.0,train,3.225897482406212E-4,56.6825380465433,0.7425778871623805
480.0,480.0,train,2.803663206415454E-4,31.475177438253855,0.6925420085668554
481.0,481.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
482.0,482.0,train,3.1786591091821946E-4,51.00393412885843,0.7374112911945643
483.0,483.0,train,3.351422219853001E-4,75.5547795880639,0.7558182763881476
484.0,484.0,train,3.351422219853001E-4,75.5547795880639,0.7558182763881476
485.0,485.0,train,2.693098234764375E-4,30.53987848116073,0.6779039400283112
486.0,486.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
487.0,487.0,train,2.558107858015352E-4,29.284973037396338,0.6590839645050262
488.0,488.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
489.0,489.0,train,2.8754590412338895E-4,32.468327093636596,0.7016891344879973
490.0,490.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
491.0,491.0,train,3.351422219853001E-4,75.5547795880639,0.7558182763881476
492.0,492.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
493.0,493.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
494.0,494.0,train,3.199148450750271E-4,53.23537143556097,0.7396648828238656
495.0,495.0,train,3.1786591091821946E-4,51.00393412885843,0.7374112911945643
496.0,496.0,train,3.1786591091821946E-4,51.00393412885843,0.7374112911945643
497.0,497.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
498.0,498.0,train,2.8920010496577656E-4,33.664954953262566,0.7037577919815698
499.0,499.0,train,3.1786591091821946E-4,51.00393412885843,0.7374112911945643
500.0,500.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
501.0,501.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
502.0,502.0,train,2.8920010496577656E-4,33.664954953262566,0.7037577919815698
503.0,503.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
504.0,504.0,train,3.280025848856151E-4,65.67321594376068,0.7483732034758461
505.0,505.0,train,2.803663206415454E-4,31.475177438253855,0.6925420085668554
506.0,506.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
507.0,507.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
508.0,508.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
509.0,509.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
510.0,510.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
511.0,511.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
512.0,512.0,train,3.389934427149294E-4,81.32086499363292,0.7597423739924771
513.0,513.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
514.0,514.0,train,3.1159262211710406E-4,46.15021637029708,0.730389371071258
515.0,515.0,train,3.351422219853001E-4,75.5547795880639,0.7558182763881476
516.0,516.0,train,7.331204941064476E-5,7.813489604310854,0.2653798744954553
517.0,517.0,train,2.558107858015352E-4,29.284973037396338,0.6590839645050262
518.0,518.0,train,2.558107858015352E-4,29.284973037396338,0.6590839645050262
519.0,519.0,train,2.3433803072239642E-4,20.765986657209577,0.6268555383799028
520.0,520.0,train,2.9490565337180613E-4,34.1919753020465,0.7107834072257804
